# source:CJK 汉字拼音表——42856字 wangyanhan整理制作
# format = 1
㞪 náo(nao2)
㞫 jù(ju4)
㞬 qìn(qin4)
㞭 dài(dai4)
㞯 jié(jie2)
㞰 xǔ(xu3)
㞱 cōnɡ(cong1)
㞲 yòng(yong4)
㞳 dǒu(dou3)
㞴 chí mín(chi2 min2)
㞶 mǐn(min3)
㞷 huánɡ(huang2)
㞸 suì(sui4)
㞹 kě(ke3)
㞺 zú(zu2)
㞻 hào(hao4)
㞼 chénɡ(cheng2)
㞽 xuè(xue4)
㞾 ní(ni2)
㞿 chì(chi4)
㟀 lián(lian2)
㟁 àn(an4)
㟂 mǔ(mu3)
㟃 sī(si1)
㟄 xiánɡ(xiang2)
㟅 yánɡ(yang2)
㟆 huá(hua2)
㟇 cuó cuò(cuo2 cuo4)
㟈 qiú(qiu2)
㟉 láo(lao2)
㟊 fú(fu2)
㟋 duì(dui4)
㟌 mánɡ(mang2)
㟍 lánɡ lǎnɡ(lang2 lang3)
㟎 tuǐ tuǒ(tui3 tuo3)
㟏 hán(han2)
㟐 mǎnɡ(mang3)
㟑 bó(bo2)
㟒 qūn(qun1)
㟓 qí(qi2)
㟔 hán(han2)
㟖 lónɡ lònɡ(long2 long4)
㟘 tiáo(tiao2)
㟙 zé(ze2)
㟚 qí(qi2)
㟛 zàn(zan4)
㟜 mí(mi2)
㟝 péi(pei2)
㟞 zhàn(zhan4)
㟟 xiànɡ(xiang4)
㟠 ɡǎnɡ(gang3)
㟢 qí(qi2)
㟤 lù(lu4)
㟦 yùn(yun4)
㟧 è(e4)
㟨 duān(duan1)
㟩 mín(min2)
㟪 wēi wěi(wei1 wei3)
㟫 quán(quan2)
㟬 sǒu(sou3)
㟭 mín(min2)
㟮 tū(tu1)
㟰 mǐnɡ(ming3)
㟱 yǎo(yao3)
㟲 jué(jue2)
㟳 lì(li4)
㟴 kuài(kuai4)
㟵 ɡǎnɡ(gang3)
㟶 yuán(yuan2)
㟷 dɑ(da)
㟹 láo(lao2)
㟺 lóu(lou2)
㟻 qiàn zhǎn(qian4 zhan3)
㟼 áo(ao2)
㟽 biāo biǎo(biao1 biao3)
㟾 yōng(yong1)
㟿 mánɡ mǎnɡ(mang2 mang3)
㠀 dǎo(dao3)
㠂 áo(ao2)
㠄 xí(xi2)
㠅 fú fù(fu2 fu4)
㠆 dān(dan1)
㠇 jiù(jiu4)
㠈 rùn(run4)
㠉 tóng(tong2)
㠊 qū(qu1)
㠋 è(e4)
㠌 qī(qi1)
㠍 jí(ji2)
㠎 jí jié(ji2 jie2)
㠏 huá(hua2)
㠐 jiào(jiao4)
㠑 zuì(zui4)
㠒 biǎo(biao3)
㠓 ménɡ(meng2)
㠔 bài(bai4)
㠕 wěi(wei3)
㠖 yǐ(yi3)
㠗 ào(ao4)
㠘 yǔ(yu3)
㠙 háo(hao2)
㠚 duì(dui4)
㠛 wò(wo4)
㠜 nì(ni4)
㠝 cuán(cuan2)
㠟 lí(li2)
㠠 lú(lu2)
㠡 niǎo(niao3)
㠢 huái(huai2)
㠣 lì(li4)
㠥 léi lěi lǜ(lei2 lei3 lv4)
㠦 fēnɡ(feng1)
㠧 mǐ(mi3)
㠨 yù(yu4)
㠪 jù(ju4)
㠭 zhǎn(zhan3)
㠮 ɡānɡ pēnɡ(gang1 peng1)
㠯 yǐ(yi3)
㠱 jì qǐ(ji4 qi3)
㠲 bǐ(bi3)
㠴 rèn(ren4)
㠵 huānɡ(huang1)
㠶 fán(fan2)
㠷 ɡé(ge2)
㠸 kù(ku4)
㠹 jiè(jie4)
㠺 miáo shā(miao2 sha1)
㠼 sī(si1)
㠽 tóng(tong2)
㠾 yuān(yuan1)
㠿 cǐ zī(ci3 zi1)
㡀 bì(bi4)
㡁 kuǎ(kua3)
㡂 lì(li4)
㡃 huānɡ(huang1)
㡄 xún(xun2)
㡅 nuǒ(nuo3)
㡇 jiē zhé(jie1 zhe2)
㡈 mén miǎn wèn(men2 mian3 wen4)
㡉 xián(xian2)
㡊 qià(qia4)
㡋 ān yé(an1 ye2)
㡌 mào(mao4)
㡏 shū shù tóu xū(shu1 shu4 tou2 xu1)
㡑 jiǎo qiāo(jiao3 qiao1)
㡒 zhūn(zhun1)
㡓 kūn(kun1)
㡔 wù(wu4)
㡕 yīng(ying1)
㡖 chuánɡ(chuang2)
㡗 tí(ti2)
㡘 lián lín(lian2 lin2)
㡙 bī(bi1)
㡚 ɡōu(gou1)
㡛 mánɡ(mang2)
㡜 xiè xuě(xie4 xue3)
㡝 fènɡ(feng4)
㡞 lóu lǚ(lou2 lv3)
